iteration,residual
1,1.1444317460271471
2,0.47568523667518625
3,0.19447590776546644
4,0.09883557904101639
5,0.05514403142033665
6,0.0325412827842657
7,0.019481122910137268
8,0.012706306983240625
9,0.008630386302144282
10,0.0061466063900764804
11,0.004428067219906017
12,0.0032418814887971866
13,0.002388120731909509
14,0.0017707347629613182
15,0.0013192385281403601
16,0.0009872906188899341
17,0.0007425349137965884
18,0.0005601491084913493
19,0.000424967359683904
20,0.00032342961299659166
21,0.00024710439063094897
22,0.00018979657918689159
23,0.0001459068053302666
24,0.00011308781215286682
25,8.74185971475282e-05
26,6.833387631348612e-05
27,5.3103507887222285e-05
28,4.182843622209841e-05
29,3.2664419425609205e-05
30,2.592405082947531e-05
31,2.03426067377366e-05
32,1.625723070265292e-05
33,1.2820661551797971e-05
34,1.0312779260519104e-05
35,8.164018405015698e-06
36,6.605550485941482e-06
37,5.248667915442615e-06
38,4.2695363222047505e-06
39,3.4038438002584407e-06
40,2.7797328131933337e-06
41,2.2219213762974656e-06
42,1.8201375026966846e-06
43,1.4583305245857017e-06
44,1.1976988016364588e-06
45,9.615802451423285e-07
